,Subcategory,Subcategory 2,Supplier,Organization,Sectors,Factor Id,Factor Name
30,Construction Materials,Plywood,Kronospan Worldwide,Kronospan Worldwide,Construction Materials,,
31,Construction Materials,Bricks,Wienerberger AG,Wienerberger AG,Construction Materials,,
32,Technology,Laptops,Dell Technologies Inc.,Dell Technologies Inc.,Technology,,
33,Technology,Smartphones,Xiaomi Corporation,Xiaomi Corporation,Technology,,
34,Technology,Software Solutions,SAP SE,SAP SE,Technology,,
35,Technology,Cloud Services,AWS (Amazon Web Services),AWS (Amazon Web Services),Technology,,
36,Energy,Solar Panels,Jinko Solar Holding Co. Ltd.,Jinko Solar Holding Co. Ltd.,Energy,,
37,Energy,Batteries for Storage,Tesla Energy Solutions,Tesla Energy Solutions,Energy,,
38,Energy,Fuel Cells,Ballard Power Systems Inc.,Ballard Power Systems Inc.,Energy,,
39,Energy,Lubricants,Shell Global Solutions International BV,Shell Global Solutions International BV,Energy,,
40,Clothing,Sportswear,Nike Inc.,Nike Inc.,Apparel,,
41,Clothing,Casual Wear,H&M Group,H&M Group,Apparel,,
42,Clothing,Luxury Apparel,LVMH Moët Hennessy Louis Vuitton SE,LVMH Moët Hennessy Louis Vuitton SE,Apparel,,
43,Clothing,Fashion Accessories,Zara SA (Inditex),Zara SA (Inditex),Apparel,,
44,Beauty Products,Cosmetics,L'Oréal Group,L'Oréal Group,Beauty Products,,
45,Beauty Products,Hygiene Products,P&G (Procter & Gamble),P&G (Procter & Gamble),Beauty Products,,
46,Beauty Products,Skin Care,Nivea (Beiersdorf AG),Nivea (Beiersdorf AG),Beauty Products,,
47,Beauty Products,Hair Care,TRESemmé (Unilever),TRESemmé (Unilever),Beauty Products,,
48,Agriculture,Fertilizers,Yara International ASA,Yara International ASA,Agriculture,,
49,Agriculture,Pesticides,BASF SE Agriculture Solutions Division,BASF SE Agriculture Solutions Division,Agriculture,,
50,Agriculture,Irrigation Equipment,Jain Irrigation Systems Ltd.,Jain Irrigation Systems Ltd.,Agriculture,,
51,Agriculture,Farm Machinery,John Deere Co.,John Deere Co.,Agriculture,333120.0,Farm Machinery Manufacturing (Agriculture Equipment)
52,Aerospace,Aviation Components,Boeing Company,Boeing Company,Aerospace,,
53,Aerospace,Aerospace Materials,Rolls-Royce Holdings PLC,Rolls-Royce Holdings PLC,Aerospace,,
54,Aerospace,Navigational Systems,Honeywell Aerospace Inc.,Honeywell Aerospace Inc.,Aerospace,,
55,Aerospace,Turbine Engines,GE Aviation Systems LLC,GE Aviation Systems LLC,Aerospace,,
56,Healthcare Services,Hospitals,Mayo Clinic Health System,Mayo Clinic Health System,Healthcare Services,,
57,Healthcare Services,Laboratories,LabCorp Diagnostics Inc.,LabCorp Diagnostics Inc.,Healthcare Services,,
58,Healthcare Services,Nursing Homes,Kaiser Permanente Healthcare Group Inc.,Kaiser Permanente Healthcare Group Inc.,Healthcare Services,,
59,Healthcare Services,Mental Health Services,Cigna Corporation Behavioral Health Division,Cigna Corporation Behavioral Health Division,Healthcare Services,,
60,Mining & Metals,Iron Ore,Rio Tinto Group Mining Division,Rio Tinto Group Mining Division,Mining & Metals,212210.0,Iron Ore Mining
61,Mining & Metals,Copper Ore,BHP Group Limited Copper Operations,BHP Group Limited Copper Operations,Mining & Metals,212230.0,Copper Ore Mining
62,Mining & Metals,Zinc Ore,Hindustan Zinc Limited,Hindustan Zinc Limited,Mining & Metals,,
63,Mining & Metals,Gemstones,Gemfields PLC,Gemfields PLC,Mining & Metals,,
64,Transportation,Railway Equipment,Siemens Mobility GmbH,Siemens Mobility GmbH,Transportation,,
65,Transportation,Aviation Equipment,Bombardier Aerospace,Bombardier Aerospace,Transportation,,
66,Transportation,Cargo Containers,MOL Logistics Co. Ltd.,MOL Logistics Co. Ltd.,Transportation,,
67,Transportation,Fleet Management Software,Zebra Technologies Corporation,Zebra Technologies Corporation,Transportation,,
68,Education Supplies,Books,Pearson Education Limited,Pearson Education Limited,Education Supplies,,
69,Education Supplies,Laboratory Equipment,Fisher Scientific International LLC,Fisher Scientific International LLC,Education Supplies,,
70,Education Supplies,Digital Learning Tools,Kahoot! AS,Kahoot! AS,Education Supplies,,
71,Education Supplies,Furniture for Schools,Virco Manufacturing Corporation,Virco Manufacturing Corporation,Education Supplies,,
72,Entertainment Services,Gaming Consoles,Sony Interactive Entertainment LLC,Sony Interactive Entertainment LLC,Entertainment Services,,
73,Entertainment Services,Videogames,Nintendo Co. Ltd.,Nintendo Co. Ltd.,Entertainment Services,,
74,Entertainment Services,Movie Production Equipment,Walt Disney Studios Motion Pictures LLC,Walt Disney Studios Motion Pictures LLC,Entertainment Services,,
75,Entertainment Services,Musical Instruments,Yamaha Corporation Music Division,Yamaha Corporation Music Division,Entertainment Services,,
76,Hospitality Services,Luxury Hotels,Ritz-Carlton Hotel Company LLC,Ritz-Carlton Hotel Company LLC,Hospitality Services,,
77,Hospitality Services,Budget Hotels,OYO Rooms Private Limited,OYO Rooms Private Limited,Hospitality Services,,
78,Hospitality Services,Catering Equipment,Hobart Food Equipment Group LLC,Hobart Food Equipment Group LLC,Hospitality Services,,
79,Hospitality Services,Tourism Packages,TUI Group Travel Division,TUI Group Travel Division,Hospitality Services,,
80,Retail,E-commerce Platforms,Amazon.com Inc. Retail Division,Amazon.com Inc. Retail Division,Retail,,
81,Retail,Grocery Chains,Walmart Inc. Grocery Operations Unit,Walmart Inc. Grocery Operations Unit,Retail,,
82,Retail,Fashion Retailers,Zalando SE Fashion Marketplace Division,Zalando SE Fashion Marketplace Division,Retail,,
83,Retail,Luxury Goods Retailers,Tiffany & Co. Jewelry Operations Unit,Tiffany & Co. Jewelry Operations Unit,Retail,,
84,Telecommunications Network Equipment,Nokia Corporation Telecommunications Division,Nokia Corporation Telecommunications Division,Nokia Corporation Telecommunications Division,Telecommunications,,
85,Telecommunications Mobile Phones,Huawei Technologies Co. Ltd.,Huawei Technologies Co. Ltd.,Huawei Technologies Co. Ltd.,Telecommunications,,
86,Telecommunications Satellite Communication Systems,Viasat Inc. Satellite Communications Unit,Viasat Inc. Satellite Communications Unit,Viasat Inc. Satellite Communications Unit,Telecommunications,517410.0,Satellite Telecommunications
87,Telecommunications Internet Service Providers,Vodafone Group PLC Internet Operations Unit,Vodafone Group PLC Internet Operations Unit,Vodafone Group PLC Internet Operations Unit,Telecommunications,,
88,Sports Equipment Outdoor Gear,Puma SE Sportswear and Equipment Division,Puma SE Sportswear and Equipment Division,Puma SE Sportswear and Equipment Division,Sports Equipment,,
89,Sports Equipment Indoor Fitness Equipment,Peloton Interactive Inc. Fitness Division,Peloton Interactive Inc. Fitness Division,Peloton Interactive Inc. Fitness Division,Sports Equipment,,
90,Sports Equipment Adventure Gear,Mammut Sports Group AG Adventure Gear Division,Mammut Sports Group AG Adventure Gear Division,Mammut Sports Group AG Adventure Gear Division,Sports Equipment,,
91,Sports Equipment Team Sports Gear,Umbro International Team Sports Division,Umbro International Team Sports Division,Umbro International Team Sports Division,Sports Equipment,,
92,Pharmaceuticals,Antibiotics,Merck & Co.,Merck & Co.,Pharmaceuticals,,
93,Pharmaceuticals,Antivirals,Gilead Sciences,Gilead Sciences,Pharmaceuticals,,
94,Pharmaceuticals,Antifungals,Pfizer Inc.,Pfizer Inc.,Pharmaceuticals,,
95,Pharmaceuticals,Antiparasitics,Sanofi,Sanofi,Pharmaceuticals,,
96,Pharmaceuticals,Antineoplastics,Roche,Roche,Pharmaceuticals,,
97,Pharmaceuticals,Anticoagulants,Bristol-Myers Squibb,Bristol-Myers Squibb,Pharmaceuticals,,
98,Pharmaceuticals,Antidepressants,Eli Lilly and Company,Eli Lilly and Company,Pharmaceuticals,,
99,Pharmaceuticals,Antipsychotics,AstraZeneca,AstraZeneca,Pharmaceuticals,,
100,Pharmaceuticals,Antidiabetics,Novo Nordisk,Novo Nordisk,Pharmaceuticals,,
101,Pharmaceuticals,Antihypertensives,Novartis,Novartis,Pharmaceuticals,,
